one low price and no add on fees or taxes  .
Cheap plans and keep getting cheaper.. No phone subsidy, so no hidden cancellation fee.. Able to keep your phone from a previous service.; Limited smartphone selection.. Limited range if you travel outside your local area, otherwise fine.. Phone insurance isn't worth the cost.
unlimited use; customer service / they take your money for service not rendered and will not give it back. call center gives you the run around.
I've spent from hundreds to thousands in cellular services and can tell you service(s) drop all the time from all of them. None are perfect. Customer Service should stay in U.S.A. for our consumers.; Tough to easily call in to local stores.
Good idea if it worked; Calls dont connect and when they do then 100% of time they drop. Customer service is worst i have ever experienced. Don't waste your money on this service.
HORRIBLE SERVICE.; Most of the phone they sell are of very poor quality. Their costumer service is very unhelpful; even the supervisors can't help you when you have an issue with their services. Their reception is limited.
They are cheap (a good deal 30$ a month Unlimited text and talk! Wow...), maybe that's why their service is so crappy!; Horrible Customer service (explained below) very hard to deal with!
Store employees helpful and knowledgeable, equipment apparently good - and "Metro PCS promise" right on the money; I got all my money back when I had to return the phone; No coverage in my area; I apparently live in a "coverage hole" (not the first time this has been a problem)
I live in Manhattan and my phones seem to have work in most areas where even T-Mobile or ATT wouldn't work; Customer Service ??? there isn't any I have to trick the system just so I can talk to a real person horrible.
Built-in traffic and GPS programs are a very useful bonus. Call quality is great. Haven't had a dropped call in three months of service. Customer service has been fine. No "gotchas."; Limited service areas (metros only). Daytona/Orlando/Tampa areas are fine.
the unlimited usage of everything .....; dropped calls(yea in the city!unreal!),web works when it wants to,can't send a mms to multiple ppl at once,you don't get what you pay for,the phones are crappy,and the list goes on.
i think that the unlimted service is the best out there compared to other prepaid plans, dropped calls can happen on any network. contract or prepaid; I think their phones are alittle high/ not enough selection
I have had my cell phone service with Metro PCS for over a year now and have had ZERO issues. I love that I know how much my service cost each month with NO surprise.; I have no cons
Living in Boston I have seen superior coverage to Sprint and TMO in the neighborhoods (Chelsea, Cambridge, Dorchester, Roslindale, Roxbury, Southie). Kudos to MetroPCS for a job well done!; Cape is not there yet. Only to Bourn and all the way down Route 3. Need P-Town!
None, it doesnt work; I dont get reception in 95% of the places, even the 5% of places where i get it its very poor. I baught this phone becaus3e i didnt want to sign a 2 year contract with verizon. but now i am buying an iphone instead.
When it works it is OK and inexpensive; If you have a problem you get absolutely NO help. They do not want to hear about problems, peole at store level are rude and have very little if any brains.
NEVER dropped a call, customer service was WAY better than ATT, all the features work (Blackberry), and when I had a problem with the phone (hardware-related), I got a NEW BB for 3 bucks!!!; Nothing yet.
Unlimited talk, text and email for one low, all-inclusive price.. Clear, reliable calls.. Metro PCS doesn't drop calls any more than other big name providers.. Easy sale and activation (purchased at E. Sahara &#38; S. Maryland Pkwy store in Las Vegas).; I've had the service for 2 weeks and I have no complaints whatsoever!
Metro Navigator, it really is unlimited everything for a single never changing low price; The WORST Customer service you will ever experience. They know it and they couldn't care less if you don't like it.
Good price,free to call.plus (internet / message); Customer service was too bad,they can't answer my questions,and it quality of the sound at my phone and customer service was bad.internet like joke
nothing at all for sure; lack of customer service,can't even get on webpage most times, Lousy coverage,many useless, costly features.Lack of any 'standard of service' in this brand, the dealers are only in it to make a buck from customers who really can't afford cellular
$40 per month for unlimited text and calls.; Ads are misleading: it is $40 only if you sign up online. I get dropped calls and no signal a lot. I get calls from collection agencies for other people. Everyday I get at least three calls from random people.
I cant think of one thing good about the service that Metro PCS provides.; Poor service areas--towers go down and no service for hours, customer service reps are extremely rude.
Unlimited talking, service is affordable compared to other carriers, the company is in expansion; The service is very limited t specific areas. The service is spotty (lots of drop calls), Internet browsing is very slow, and very unpractical. Their cellphones are very basic and expensive plus don't have lots of applications
The cost is excellent, the phone works. It's better than Sprint or At&#38;t. The sales people(although a little slow, but what sales people aren't?) are straight-forward.; It was a minor pain in the ... to get my number ported, but to save $80 a month it was well worth it. Tech support is in India, but what company doesn't have that non-sense.
Good price; Their plans are not clear. Where it states text talk global you can send text but you cannot receive text, it very difficult get through to customer service and when you do they are not helpful at all.
The bill .; Metro does have hidden fee's , but the people are rude the service is defiantly not a good service . There not concerned with satisfaction of the customer at all .
Interesting unlimited calling plans, good service in the area covered; Service limited to few states. Terrible customer service (almost impossible to talk with an agent, not even an e-mail address for customer service!). Limited choice of phones, no smart phone.
unlimited calling is cool; customer service will make you furious, then cry. They don't care, they just want the money and run. When I bought my $200 samsung messenger phone and it went dead 33 days later, Metro PCS wouldn't do anything.
Cheap as hell $40 a month and phones start at $29 and a good phone there is only. $99-150; Bad customer support pain in the butt to get past thier voice actiavted computer, Had to file BBB report because they wont talk to me and lied to me, Most workers at stores are teens 16-20
Rate Plan(s) All you can eat rate plan is the wave of the future.; Customer service is a laughing joke! (I expected more from a Texas based company). High customer churn. No online account management. (Advice: spend some money on an online cust servce portal and fire your CS Reps). Brand name is flawed.. "Ghetto"PCS"
Can't beat the price, especially the 10 dollar unlimited international calling plan. I've had nothing but good customer service from Metro PCS. Had nothing but problems with Sprint and AT&#38;T. I will never go back to them.; Really none. I'm waiting for Metro to expand its coverage area.
That you dont have to have a credit check, and you can quit whenever, thats about it; Everything is a con with them, you basically pay 60 a month to text because you dont get service ANYWHERE. Also the customer service isn't customer service at all
Metropcs is cheap phone service and everything is unlimited. The phones are nice.; The coverage of Metro is terrible. The phones are expensive. The text messages sometimes take hours to get to the person and yes I mean hours.
The price is the only good thing about this provider, but remember, you get what you pay for.; Absolutely no customer service! Mail in payments do not get processed promptly and service terminates! Also, reception is poor.
cheap! unlimited nationwide minutes plan! great metro connect account where you can store money to make international long distance calls (at v competitive rates, at least in my experience).; a bit frustrating to have to pay to use the service when i roam outside my service area, but now that they made travel talk part of the plan, it's at least possible to make roaming calls
MetroPCS offers excellent coverage and call quality through California. The network does not appear overcrowded and I experience dropped calls very rarely, usually due to relay issues while driving. The price is unrivaled. Good international rates.; The data network is older and quite slow. Tethering options for mobile laptop connectivity are not offered. Macintosh iSync compatible phones are rare, and the network is not GSM so your ability to bring your own phone is severely limited.
A total package for one price, no hidden fees! ..taxes and such included. You can upgrade to different service plans or add on packages. UNLIMITED really means unlimited any time day or night, or day of week!. Generally good value for your buck.; Third party (franchise) stores that sell the phones.. No iphone service.
I liked what they offered, unfortunately they changed their offer without informing me and it now appears as though metro PCS doesn't offer international calling; This is a phone company that would do well in the third world. Customer support not based in an english speaking country - difficult to hear and and be be heard when calling support - difficult process to get through their automated system.
a phone number for 40/month; You might like the low rate but it comes with a high price, which is aggravation, poor service, dropped calls and really bad call quality. To add insult to injury they serve ads to your cell, so even if you turn down the ringer volume, it blasts ads.
I've had the service for 2 yrs and have only experienced 2 outages both after severe storms. Excellent Low cost family plans, especially iif you have a teenager, with unlimited local/long distance and text. Great reception/service DFW Metroplex area.; Cust. Serv Reps go by script when you get to a certain point with the 1st rep they transfer you to another &#38; you have to start all over from the start going just beyond where you were transfered if not resolved transfered again &#38; U start all over!
I used to be with AT&#38;T, then I went to Sprint and then to Verizon. then I switched to MetroPCS just to give them a chance. I found out that the signal is the same, everything works fine and IM PAYING half of what I was paying with these other guys.; No 3G, but who needs that if nowadays you are always in front of a computer.. They are stiwching to 4G in winter 2010.
I thought this was a good deal for the price even though I'm not one to use the web from my phone but the $40.00 for talk &#38; text was nice........ or so I thought; Almost immediatly I began getting pop up like weatherbug, word of the day, &#38; commerical type info sent to my phone, which locked it up until I took the battery off and then re-assembled it.
I get a low price and UNLIMITED MINUTES. It works fine in the places where I spend almost all of my time. I don't need a rural nationwide network. I tend to travel mostly to just big cities. And MetroPCS works in all big metro areas.; I don't like that MetroPCS is currently offering a $30 per month plan which would satisfy my needs. But I can't get the $30 plan, because I am not a new activation. Hence, I have to keep paying $40 per month. But I still love the UNLIMITED MINUTES
When I first got the plan it was pretty good unlimited talk time was awesome...the phone were a bit more expensive but over I liked the idea of no dang contract. Especially after leaving sprint.; There are too many hidden fees and service is terrible.
Inexpensive for unlimited everything. Currently taxes are included in plans so there are no billing surprises or fluctuations with the bill. Free 411; Most phones offered do not have 3G ability. As a result, internet is very basic unless one purchases one of the more expensive phones that happen to be Samsung. Samsung doesn't work on many free download sites.
The Samsung code which I bought is fun, I love it. Easy to use once you get the hang of it. there are so many different applications, things to do and I am still learning.; Battery life not so good, but if you use less of the web etc it lasts whole day.. The storage is small, additional storage or memory.. why build a dataphone with such small storage, to make money, you will need to buy more storage...
1. Unlimited everything!. 2. Lowest monthly bill Ive had. 3. Good call quality IF you have strong reception where you are. 4. Free international txt. 5. Unlimited International calling to lots of places for $5; 1. No globalphones (with CDMA and GSM technology built in). 2. The phone that I ordered didn't come with a USB cable. 3. International calling card only available in the corporate stores. 4. Post a list of countries covered by the $5 international plan?
MetroPCS have been pricing aggressively (like some of the other prepaid carriers) and I decided to try them out simply based on price. I normally use Straight Talk, which I found to be very good.; Low network quality and NO network outside city. I knew, before buying a MetroPCS phone, that they had much smaller coverage than most of the other carriers but I wasn't expecting it to be THAT bad.. Customer service is terrible!
$750 cheaper per year than my old plan with AT&#38;T, Unlimited texting, talk, unlimited HTML web browsing &#38; unlimited international calling = Huge value for the money.; For the price I pay and the value of the services I receive from Metro, I can't complain. But if you do a lot of traveling or don't live in one of Metros major coverage areas, than Metro is probably not for you.
All you can eat for 55 USD. What can I say? Calls to China using the unlimited International Plan worked. Mobile Web speed is OK, like dialup. Good enough for light usage, full HTML webpages on my phone may be slowing the download.; Quite a few dropped calls while driving around Los Angeles. The hand off software between cell sites needs to be improved. Basically, either you have good coverage and signal or you have none.
There is nothing good to say after my experience with Metropcs; customer service reps are rude and the store manager no better at the corporate store i visited in Las Vegas. I had problems with my new 160.00 phone and nobody cared. Calling the 1-888 number just gets you hung up on.Cancelled service .
Really can't beat the price for getting unlimited everything! Their coverage is expanding and I believe it will continue to expand; Over the phone customer service/support is nearly impossible, all it is, is recordings, you never speak to a person, I always had to go into one of thier stores if I needed to talk to someone; additional fees for any form of payments
I left AT &#38;T due to lousy customer service. I decided to give Metro a try., I get everything and customer service is great so far. I have had no dropped calls but I do know this was a problem a while ago in the Florida area. Not here in Dallas.; I have no cons at this point.
its cheap, but you get what you pay for; no service out side of highly populated areas. very poor customer service. i was overcharged for a replacement phone by the store at 433 sunrise hwy in lynbrook, NY and they don't care.
Affordable, great coverage, competetive with other carriers with upgraded phones,they are always offering rebates to new customers and when you buy a new phone so the phones aren't always full price, coverage in all major cities regardless of state; Coverage is not great when you go out to the BOONIES. Customer service is hard to get ahold of.
OK, ive been with metro PCS for a few years now. Ive been threw maybe 3-5 phones, and have had to recieve customer service... Pro's; Great price for the phone service, no contracts, true UNLIMITED.; Cons... Customer service is REALLY bad... good luck getting a human being to speak with on the phone, and when you go to a service center, be ready to wait for a while. and lastly, no smart phones...
Great service plan if ay of the three major companies gave you unlimited every thing for anywhere close to this I would jumped on with them.; Horrible customer service. They are not really trained to do nothing. Everytime Ive ever called about problems with my phone. They just tell me to restart it and thats it. Small choice of phones.
I really like that there are no contracts, it truly is what it says it is. I love the navigation, the internet, face book, all that stuff for way cheaper than my friends are paying for the other companies.; the customer service over the phone is terrible but if you go into a store they usually are nice. I have had metro for almost 5 yrs now and have minimal problems.
Great phones with many service features for one price(txt, email, internet, navigation, etc.) Price is much lower for alot of features compared to companies such as AT&#38;T, Sprint and Verizon.; High priced phones, poor customer service, frequent dropped calls, if there's a problem with your phone noone is experienced in getting it fully resolved, I realize my expectations are too high when I need help with service or phone
I am lucky enough to live in a big city(NYC). They did a great job of building out there equipment in all 5 boroughs. I switched from Sprint and do not have any regrets. I do love the cost as well.$40 for unlimited text talk and web its a no brainer.; Coverage out of NYC is spotty. The call number on the website is automated and its impossible to get to a rep. 611 does solve this but its kinda of a pain if your calling from a landline
Great price. Unlimited calls and text. No dropped calls. No unexpected charges (e.g. have to explicitly consent to roam). I have reception at work in a room where generally cells don't have one. Awesome rebates for new phones.; Customer service annoying - but not as annoying as other people find it. It is as annoying as ATT's, Sprint's or Bank of America's. Unfortunately, I don't know a single company that doesn't make you go through the automated menu.
I love the idea of paying only $50 for unlimited phone, email, and Internet - I am paying over $120/mth with a national carrier. The MetroPCS call quality is fine in Brooklyn, NY.; Customer Service SUCKS - A customer service rep told me that she could not discuss my problem on the phone, and I had to go to a corporate store. I called the corporate store where I activated my service and got an answering machine.
Four lines with unlimited nationwide, text, internet, voicemail for 100.00 per month. I was paying that for the same with 1 line with sprint. Voicemail is the best of any carrier I have had, none showing up hours later like with sprint.; Large cost for purchase of phones. Phones tend to be more basic and few options available, must hunt through all features of all phones to get what you want. Phone customer service is poor, but there are many dealers who can help at their locations.
